,title,abstract,summary,date
10,Ambipolar blend-based organic electrochemical transistors and inverters,"CMOS-like circuits in bioelectronics translate biological to electronic signals using organic electrochemical transistors (OECTs) based on organic mixed ionic-electronic conductors (OMIECs). Ambipolar OECTs can reduce the complexity of circuit fabrication, and in bioelectronics have the major advantage of detecting both cations and anions in one device, which further expands the prospects for diagnosis and sensing. Ambipolar OMIECs however, are scarce, limited by intricate materials design and complex synthesis. Here we demonstrate that judicious selection of p- and n-type materials for blend-based OMIECs offers a simple and tunable approach for the fabrication of ambipolar OECTs and corresponding circuits. These OECTs show high transconductance and excellent stability over multiple alternating polarity cycles, with ON/OFF ratios exceeding 103 and high gains in corresponding inverters. This work presents a simple and versatile new paradigm for the fabrication of ambipolar OMIECs and circuits with little constraints on materials design and synthesis and numerous possibilities for tunability and optimization towards higher performing bioelectronic applications.","Ambipolar organic electrochemical transistors simplify bioelectronics circuitry but are challenging due to complicated material design and synthesis. Here, the authors demonstrate that p- and n-type blends offer a simple and tuneable approach for the fabrication of ambipolar devices and circuits.",2022-09-22
11,Liquid-crystalline behavior on dumbbell-shaped colloids and the observation of chiral blue phases,"Colloidal liquid crystals are an emerging class of soft materials that naturally combine the unique properties of both liquid crystal molecules and colloidal particles. Chiral liquid crystal blue phases are attractive for use in fast optical displays and electrooptical devices, but the construction of blue phases is limited to a few chiral building blocks and the formation of blue phases from achiral ones is often counterintuitive. Herein we demonstrate that achiral dumbbell-shaped colloids can assemble into a rich variety of characteristic liquid crystal phases, including nematic phases with lock structures, smectic phase, and particularly experimental observation of blue phase III with double-twisted chiral columns. Phase diagrams from experiments and simulations show that the existence and stable regions of different liquid crystal phases are strongly dependent on the geometrical parameters of dumbbell-shaped colloids. This work paves a new route to the design and construction of blue phases for photonic applications.",Colloidal liquid crystals account for various applications due to the combination of characteristics relevant for liquid crystals and colloids. The authors elaborate the impact of concave geometry on the properties of colloidal liquid crystals for development of functional materials.,2022-09-22
12,Pauling-type adsorption of O2 induced electrocatalytic singlet oxygen production on N–CuO for organic pollutants degradation,"Due to environmentally friendly operation and on-site productivity, electrocatalytic singlet oxygen (1O2) production via O2 gas is of immense interest in environment purification. However, the side-on configuration of O2 on the catalysts surface will lead to the formation of H2O, which seriously limits the selectivity and activity of 1O2 production. Herein, we show a robust N-doped CuO (N–CuO) with Pauling-type (end-on) adsorption of O2 at the N–Cu–O3 sites for the selective generation of 1O2 under direct-current electric field. We propose that Pauling-type configuration of O2 not only lowers the overall activation energy barrier, but also alters the reaction pathway to form 1O2 instead of H2O, which is the key feature determining selectivity for the dissociation of Cu–O bonds rather than the O–O bonds. The proposed N dopant strategy is applicable to a series of transition metal oxides, providing a universal electrocatalysts design scheme for existing high-performance electrocatalytic 1O2 production.","Side-on configuration of O2 on the catalysts conventionally leads to reduction of O2 to water. Here, the authors propose a nitrogen doping strategy with Pauling-type adsorption of O2 for selective electrocatalytic singlet oxygen production.",2022-09-22
13,Ubiquitination of CLIP-170 family protein restrains polarized growth upon DNA replication stress,"Microtubules play a crucial role during the establishment and maintenance of cell polarity. In fission yeast cells, the microtubule plus-end tracking proteins (+TIPs) (including the CLIP-170 homologue Tip1) regulate microtubule dynamics and also transport polarity factors to the cell cortex. Here, we show that the E3 ubiquitin ligase Dma1 plays an unexpected role in controlling polarized growth through ubiquitinating Tip1. Dma1 colocalizes with Tip1 to cortical sites at cell ends, and is required for ubiquitination of Tip1. Although the absence of dma1+ does not cause apparent polar growth defects in vegetatively growing cells, Dma1-mediated Tip1 ubiquitination is required to restrain polar growth upon DNA replication stress. This mechanism is distinct from the previously recognized calcineurin-dependent inhibition of polarized growth. In this work, we establish a link between Dma1-mediated Tip1 ubiquitination and DNA replication or DNA damage checkpoint-dependent inhibition of polarized growth in fission yeast.",The microtubule plus-end tracking protein Tip1 regulates microtubule dynamics and polar growth in fission yeast. Here the authors link the ubiquitination of Tip1 by ubiquitin ligase Dma1 to polarized growth inhibition upon DNA replication stress.,2022-09-22
14,Accelerating syngas-to-aromatic conversion via spontaneously monodispersed Fe in ZnCr2O4 spinel,"Spontaneous monodispersion of reducible active species (e.g., Fe, Co) and their stabilization in reductive atmospheres remain a key challenge in catalytic syngas chemistry. In this study, we present a series of catalysts including spontaneously monodispersed and enriched Fe on ZnCr2O4. Deep investigation shows remarkable performance in the syngas-to-aromatic reaction only when monodispersed Fe coupled with a H-ZSM-5 zeolite. Monodispersed Fe increases the turnover frequency from 0.14 to 0.48 s−1 without sacrificing the record high selectivity of total aromatics (80–90%) at a single pass. The increased activity is ascribed to more efficient activation of CO and H2 at oxygen vacancy nearest to the isolated Fe site and the prevention of carbide formation. Atomic precise characterization and theoretical calculations shed light on the origin and implications of spontaneous Fe monodispersion, which provide guidance to the design of next-generation catalyst for upgrading small molecules to synthetic fuels and chemicals.",Spontaneous monodispersion of active species and their stabilization in reductive atmospheres remain a challenge in catalytic syngas chemistry. Here the authors demonstrate that syngas-to-aromatic conversion can be significantly accelerated by the spontaneously monodispersed Fe in ZnCr2O4 spinel.,2022-09-22
15,A fungal tolerance trait and selective inhibitors proffer HMG-CoA reductase as a herbicide mode-of-action,"Decades of intense herbicide use has led to resistance in weeds. Without innovative weed management practices and new herbicidal modes of action, the unabated rise of herbicide resistance will undoubtedly place further stress upon food security. HMGR (3-hydroxy-3-methylglutaryl-coenzyme A reductase) is the rate limiting enzyme of the eukaryotic mevalonate pathway successfully targeted by statins to treat hypercholesterolemia in humans. As HMGR inhibitors have been shown to be herbicidal, HMGR could represent a mode of action target for the development of herbicides. Here, we present the crystal structure of a HMGR from Arabidopsis thaliana (AtHMG1) which exhibits a wider active site than previously determined structures from different species. This plant conserved feature enables the rational design of specific HMGR inhibitors and we develop a tolerance trait through sequence analysis of fungal gene clusters. These results suggest HMGR to be a viable herbicide target modifiable to provide a tolerance trait.","Managing herbicide resistance problem needs the identification of new herbicidal modes of action. Here, the authors solve the crystal structures of Arabidopsis HMGR and show HMGR as a potential new herbicide target by identifying plant-specific HMGR inhibitors and engineering tolerant trait in Arabidopsis.",2022-09-22
16,Excitonic Bloch–Siegert shift in CsPbI3 perovskite quantum dots,"Coherent interaction between matter and light field induces both optical Stark effect and Bloch–Siegert shift. Observing the latter has been historically challenging, because it is weak and is often accompanied by a much stronger Stark shift. Herein, by controlling the light helicity, we can largely restrict these two effects to different spin-transitions in CsPbI3 perovskite quantum dots, achieving room-temperature Bloch–Siegert shift as strong as 4 meV with near-infrared pulses. The ratio between the Bloch–Siegert and optical Stark shifts is however systematically higher than the prediction by the non-interacting, quasi-particle model. With a model that explicitly accounts for excitonic effects, we quantitatively reproduce the experimental observations. This model depicts a unified physical picture of the optical Stark effect, biexcitonic optical Stark effect and Bloch–Siegert shift in low-dimensional materials displaying strong many-body interactions, forming the basis for the implementation of these effects to information processing, optical modulation and Floquet engineering.","Observation of a Bloch-Siegert shift has remained elusive. Here, Wu et al, reports spin-selective Bloch-Siegert shift in lead halide perovskite quantum dots, and highlights the importance of many-body interactions in correctly modeling the shift.",2022-09-22
17,Chromatin organizer SATB1 controls the cell identity of CD4+ CD8+ double-positive thymocytes by regulating the activity of super-enhancers,"CD4+ and CD8+ double-positive (DP) thymocytes play a crucial role in T cell development in the thymus. DP cells rearrange the T cell receptor gene Tcra to generate T cell receptors with TCRβ. DP cells differentiate into CD4 or CD8 single-positive (SP) thymocytes, regulatory T cells, or invariant nature kill T cells (iNKT) in response to TCR signaling. Chromatin organizer SATB1 is highly expressed in DP cells and is essential in regulating Tcra rearrangement and differentiation of DP cells. Here we explored the mechanism of SATB1 orchestrating gene expression in DP cells. Single-cell RNA sequencing shows that Satb1 deletion changes the cell identity of DP thymocytes and down-regulates genes specifically and highly expressed in DP cells. Super-enhancers regulate the expressions of DP-specific genes, and our Hi-C data show that SATB1 deficiency in thymocytes reduces super-enhancer activity by specifically decreasing interactions among super-enhancers and between super-enhancers and promoters. Our results reveal that SATB1 plays a critical role in thymocyte development to promote the establishment of DP cell identity by globally regulating super-enhancers of DP cells at the chromatin architectural level.","Here the authors show the identity of CD4 + CD8 + double-positive (DP) thymocytes changes upon loss of chromatin organizer Satb1, which controls the expression of cell identity genes by regulating super-enhancers via 3D genome architecture.",2022-09-22
18,Scalable anisotropic cooling aerogels by additive freeze-casting,"Cooling in buildings is vital to human well-being but inevitability consumes significant energy, adding pressure on achieving carbon neutrality. Thermally superinsulating aerogels are promising to isolate the heat for more energy-efficient cooling. However, most aerogels tend to absorb the sunlight for unwanted solar heat gain, and it is challenging to scale up the aerogel fabrication while maintaining consistent properties. Herein, we develop a thermally insulating, solar-reflective anisotropic cooling aerogel panel containing in-plane aligned pores with engineered pore walls using boron nitride nanosheets by an additive freeze-casting technique. The additive freeze-casting offers highly controllable and cumulative freezing dynamics for fabricating decimeter-scale aerogel panels with consistent in-plane pore alignments. The unique anisotropic thermo-optical properties of the nanosheets combined with in-plane pore channels enable the anisotropic cooling aerogel to deliver an ultralow out-of-plane thermal conductivity of 16.9 mW m−1 K−1 and a high solar reflectance of 97%. The excellent dual functionalities allow the anisotropic cooling aerogel to minimize both parasitic and solar heat gains when used as cooling panels under direct sunlight, achieving an up to 7 °C lower interior temperature than commercial silica aerogels. This work offers a new paradigm for the bottom-up fabrication of scalable anisotropic aerogels towards practical energy-efficient cooling applications.","Scaling up anisotropic freeze-casting processes can be challenging due to the temperature gradient farther from the cold source. Here, authors report an additive freeze-casting technique able to produce large-scale aerogel panels and demonstrate it towards practical passive cooling applications.",2022-09-22
19,60 million years of glaciation in the Transantarctic Mountains,"The Antarctic continent reached its current polar location ~83 Ma and became shrouded by ice sheets ~34 Ma, coincident with dramatic global cooling at the Eocene-Oligocene boundary. However, it is not known whether the first Antarctic glaciers formed immediately prior to this or were present significantly earlier. Here we show that mountain glaciers were likely present in the Transantarctic Mountains during the Late Palaeocene (~60–56 Ma) and middle Eocene (~48–40 Ma). Temperate (warm-based) glaciers were prevalent during the Late Eocene (~40–34 Ma) and, in reduced numbers, during the Oligocene (~34–23 Ma), before larger, likely cold-based, ice masses (including ice sheets) dominated. Some temperate mountain glaciers were present during the Miocene Climatic Optimum (~15 Ma), before a widespread switch to cold-based glaciation. Our findings highlight the longevity of glaciation in Antarctica and suggest that glaciers were present even during the Early-Cenozoic greenhouse world.","This study finds that glaciers have existed in the Transantarctic Mountains for the past 60 million years, and that warm-based mountain glaciers were present in Antarctica long before ice sheets came to dominate the continent.",2022-09-21
20,"Enantioselective nickel-catalyzed dicarbofunctionalization of 3,3,3-trifluoropropene","Despite paramount applications of chiral trifluoromethylated compounds in medicinal chemistry and materials science, limited strategies have been developed for catalytic asymmetric synthesis of such valuable fluorinated structures. Here, we report a nickel catalyzed enantioselective dicarbofunctionalization of inexpensive industrial chemical 3,3,3-trifluoropropene (TFP) with readily available tertiary alkyl and aryl iodides. The reaction overcomes the β-F elimination side reaction of TFP, and proceeds efficiently under mild reaction conditions. The protocol possesses advantages, such as synthetic convenience, high enantioselectivity, and excellent functional group tolerance, providing rapid and straightforward access to chiral trifluoromethylated compounds of medicinal interest.","Strategies for the catalytic asymmetric synthesis of trifluoromethylated compounds remain scarce. Here, the authors report the nickel-catalyzed enantioselective dicarbofunctionalization of 3,3,3-trifluoropropene.",2022-09-21
21,Preclinical and randomized clinical evaluation of the p38α kinase inhibitor neflamapimod for basal forebrain cholinergic degeneration,"The endosome-associated GTPase Rab5 is a central player in the molecular mechanisms leading to degeneration of basal forebrain cholinergic neurons (BFCN), a long-standing target for drug development. As p38α is a Rab5 activator, we hypothesized that inhibition of this kinase holds potential as an approach to treat diseases associated with BFCN loss. Herein, we report that neflamapimod (oral small molecule p38α inhibitor) reduces Rab5 activity, reverses endosomal pathology, and restores the numbers and morphology of BFCNs in a mouse model that develops BFCN degeneration. We also report on the results of an exploratory (hypothesis-generating) phase 2a randomized double-blind 16-week placebo-controlled clinical trial (Clinical trial registration: NCT04001517/EudraCT #2019-001566-15) of neflamapimod in mild-to-moderate dementia with Lewy bodies (DLB), a disease in which BFCN degeneration is an important driver of disease expression. A total of 91 participants, all receiving background cholinesterase inhibitor therapy, were randomized 1:1 between neflamapimod 40 mg or matching placebo capsules (taken orally twice-daily if weight <80 kg or thrice-daily if weight >80 kg). Neflamapimod does not show an effect in the clinical study on the primary endpoint, a cognitive-test battery. On two secondary endpoints, a measure of functional mobility and a dementia rating-scale, improvements were seen that are consistent with an effect on BFCN function. Neflamapimod treatment is well-tolerated with no study drug associated treatment discontinuations. The combined preclinical and clinical observations inform on the validity of the Rab5-based pathogenic model of cholinergic degeneration and provide a foundation for confirmatory (hypothesis-testing) clinical evaluation of neflamapimod in DLB.","The authors show in an animal model and in a study in patients with dementia with Lewy bodies (DLB) that the drug neflamapimod has potential to treat diseases, such as DLB, associated with loss of neurons that produce the neurotransmitter acetylcholine.",2022-09-21
22,Insular cortical circuits as an executive gateway to decipher threat or extinction memory via distinct subcortical pathways,"Threat and extinction memories are crucial for organisms’ survival in changing environments. These memories are believed to be encoded by separate ensembles of neurons in the brain, but their whereabouts remain elusive. Using an auditory fear-conditioning and extinction paradigm in male mice, here we discovered that two distinct projection neuron subpopulations in physical proximity within the insular cortex (IC), targeting the central amygdala (CeA) and nucleus accumbens (NAc), respectively, to encode fear and extinction memories. Reciprocal intracortical inhibition of these two IC subpopulations gates the emergence of either fear or extinction memory. Using rabies-virus-assisted tracing, we found IC-NAc projection neurons to be preferentially innervated by intercortical inputs from the orbitofrontal cortex (OFC), specifically enhancing extinction to override fear memory. These results demonstrate that IC serves as an operation node harboring distinct projection neurons that decipher fear or extinction memory under the top-down executive control from OFC.",Ensembles of fear and extinction memories compete and interact to drive opposing behaviors. Here the authors identified insular cortical circuits as an executive gateway that decipher between fear and extinction memories via distinct subcortical pathways.,2022-09-21
23,Leaf water content contributes to global leaf trait relationships,"Leaf functional traits are important indicators of plant growth and ecosystem dynamics. Despite a wealth of knowledge about leaf trait relationships, a mechanistic understanding of how biotic and abiotic factors quantitatively influence leaf trait variation and scaling is still incomplete. We propose that leaf water content (LWC) inherently affects other leaf traits, although its role has been largely neglected. Here, we present a modification of a previously validated model based on metabolic theory and use an extensive global leaf trait dataset to test it. Analyses show that mass-based photosynthetic capacity and specific leaf area increase nonlinearly with LWC, as predicted by the model. When the effects of temperature and LWC are controlled, the numerical values for the leaf area-mass scaling exponents converge onto 1.0 across plant functional groups, ecosystem types, and latitudinal zones. The data also indicate that leaf water mass is a better predictor of whole-leaf photosynthesis and leaf area than whole-leaf nitrogen and phosphorus masses. Our findings highlight a comprehensive theory that can quantitatively predict some global patterns from the leaf economics spectrum.","Leaf functional traits are increasingly used as proxies for plant functions. Here, the authors show that leaf water affects other leaf traits and is a better predictor of whole-leaf photosynthesis and leaf area than leaf nitrogen or phosphorus content.",2022-09-21
24,VAL1 acts as an assembly platform co-ordinating co-transcriptional repression and chromatin regulation at Arabidopsis FLC,"Polycomb (PcG) silencing is crucial for development, but how targets are specified remains incompletely understood. The cold-induced Polycomb Repressive Complex 2 (PRC2) silencing of Arabidopsis thaliana FLOWERING LOCUS C (FLC) provides an excellent system to elucidate PcG regulation. Association of the DNA binding protein VAL1 to FLC PcG nucleation regionis an important step. VAL1 co-immunoprecipitates APOPTOSIS AND SPLICING ASSOCIATED PROTEIN (ASAP) complex and PRC1. Here, we show that ASAP and PRC1 are necessary for co-transcriptional repression and chromatin regulation at FLC. ASAP mutants affect FLC transcription in warm conditions, but the rate of FLC silencing in the cold is unaffected. PRC1-mediated H2Aub accumulation increases at the FLC nucleation region during cold, but unlike the PRC2-delivered H3K27me3, does not spread across the locus. H2Aub thus involved in the transition to epigenetic silencing at FLC, facilitating H3K27me3 accumulation and long-term epigenetic memory. Overall, our work highlights the importance of VAL1 as an assembly platform co-ordinating activities necessary for epigenetic silencing at FLC.","Cold-induced silencing of Arabidopsis FLC requires the binding of VAL1 to an intronic motif. Here, the authors show that ASAP and PRC1, two interacting partner complexes of VAL1, mediate co-transcriptional repression and chromatin modulation to effectively co-ordinate different steps in FLC silencing.",2022-09-21
25,Repeating fast radio burst 20201124A originates from a magnetar/Be star binary,"Fast radio bursts (FRBs) are cosmic sources emitting millisecond-duration radio bursts. Although several hundreds FRBs have been discovered, their physical nature and central engine remain unclear. The variations of Faraday rotation measure and dispersion measure, due to local environment, are crucial clues to understanding their physical nature. The recent observations on the rotation measure of FRB 20201124A show a significant variation on a day time scale. Intriguingly, the oscillation of rotation measure supports that the local contribution can change sign, which indicates the magnetic field reversal along the line of sight. Here we present a physical model that explains observed characteristics of FRB 20201124A and proposes that repeating signal comes from a binary system containing a magnetar and a Be star with a decretion disk. When the magnetar approaches the periastron, the propagation of radio waves through the disk of the Be star naturally leads to the observed varying rotation measure, depolarization, large scattering timescale, and Faraday conversion. This study will prompt to search for FRB signals from Be/X-ray binaries.","Fast radio bursts (FRBs) are bright millisecond or shorter duration transient events. Here, the authors propose that FRB 20201124A comes from a binary system of a magnetar and a Be star with a decretion disk.",2022-09-21
